		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 78.117188	M = 40004	N = 8	m = 9	n = 320032
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100110000   38   29   46   47   45   59   45   35 138.204051 0.000000 FAILURE  78
100111000   51   50   58   47   51   55   53   47 76.355671 0.000000 FAILURE  79
101000000  574  543  475  441  553  461  535  533 20373.553956 0.000000 FAILURE  80
101000100   91   80   91   83   65   82   85   60 12.206521 0.142225 SUCCESS  81
101001000  124  111  131   99  124  103  117   89 142.627702 0.000000 FAILURE  82
101001100   40   49   49   39   48   63   38   38 119.581939 0.000000 FAILURE  83
101010000  162  162  169  143  155  157  178  159 730.675681 0.000000 FAILURE  84
101010100   55   78   72   84   75   92   68   74 12.287812 0.138817 SUCCESS  85
101011000   43   48   28   58   50   39   52   56 113.170065 0.000000 FAILURE  86
101011100   43   44   53   55   52   49   44   49 94.047174 0.000000 FAILURE  87
101100000   34   39   32   65   46   47   35   49 138.763989 0.000000 FAILURE  88
101100100   76   66   66   82   76   82   77   68  5.776857 0.672211 SUCCESS  89
101101000  115  109   88   93  105  102  103   95 63.947687 0.000000 FAILURE  90
101101100   56   49   42   47   42   46   43   35 119.647303 0.000000 FAILURE  91
101110000   39   45   47   50   44   47   48   46 111.950489 0.000000 FAILURE  92
101110100   78   81   82   77   74   61   75   77  4.574657 0.801918 SUCCESS  93
101111000   58   56   59   57   46   52   42   44 77.938058 0.000000 FAILURE  94
101111100   35   41   53   65   44   42   47   50 109.440802 0.000000 FAILURE  95
110000000   41   38   40   56   40   46   58   43 119.826434 0.000000 FAILURE  96
110000010   52   62   65   62   60   68   54   60 35.930746 0.000018 FAILURE  97
110000100   74   79   69   69   80   85   78   88  4.402766 0.819080 SUCCESS  98
110001000  137  108  114   94  103   85  124  105 124.366333 0.000000 FAILURE  99
110001010   62   50   53   74   70   54   68   63 35.433276 0.000022 FAILURE 100
110010000  175  175  151  160  155  168  168  139 748.819974 0.000000 FAILURE 101
110010010   51   56   65   61   58   59   52   61 45.471403 0.000000 FAILURE 102
110010100   92   83   81   72   80   70   56   66 12.811137 0.118515 SUCCESS 103
110011000   42   27   42   54   47   33   46   41 148.487706 0.000000 FAILURE 104
110011010   51   60   44   43   68   51   60   46 74.905046 0.000000 FAILURE 105
110100000  321  305  241  238  303  263  295  306 4584.199972 0.000000 FAILURE 106
110100010   69   59   54   60   42   55   65   63 47.630069 0.000000 FAILURE 107
110100100   75   68   85   74   84   81   76   69  4.063122 0.851384 SUCCESS 108
110101000  111  110  112  104  101  114  123   86 103.305690 0.000000 FAILURE 109
110101010   42   61   50   64   58   72   50   59 55.408588 0.000000 FAILURE 110
110101100   47   45   41   58   43   54   50   44 100.833650 0.000000 FAILURE 111
110110000   38   50   39   52   33   51   32   58 131.252510 0.000000 FAILURE 112
110110010   66   60   49   73   62   74   54   63 32.247610 0.000084 FAILURE 113
110110100   71   81   66   63   73   70   91   68 10.520710 0.230362 SUCCESS 114
110111000   39   36   45   47   46   48   44   54 119.848980 0.000000 FAILURE 115
110111010   49   59   63   59   59   57   50   49 56.356158 0.000000 FAILURE 116
110111100   46   51   54   49   41   48   44   52 96.998481 0.000000 FAILURE 117
111000000   32   44   57   53   49   53   58   56 89.227822 0.000000 FAILURE 118
111000010   60   70   65   60   64   64   80   67 18.800215 0.015965 SUCCESS 119
111000100   77   90   89   74   75   70   71   88  6.642516 0.575647 SUCCESS 120
111000110   40   40   47   49   40   48   49   49 116.199147 0.000000 FAILURE 121
111001000  104  130  122  105  102  110  110   99 119.801612 0.000000 FAILURE 122
111001010   74   71   69   70   53   49   50   65 35.186506 0.000025 FAILURE 123
111001100   45   45   52   63   53   42   36   39 110.453116 0.000000 FAILURE 124
111010000  204  163  156  162  180  172  177  189 1024.914068 0.000000 FAILURE 125
111010010   68   62   72   67   75   78   52   55 23.158709 0.003166 FAILURE 126
111010100   66   97   76   95   87  107   89   78 24.152820 0.002160 FAILURE 127
111010110   56   57   46   53   49   45   47   40 92.181405 0.000000 FAILURE 128
111011000   34   54   59   56   53   53   33   71 89.101024 0.000000 FAILURE 129
111011010   67   77   67   54   66   69   66   72 16.471933 0.036102 SUCCESS 130
111011100   46   42   54   50   57   48   41   56 91.714963 0.000000 FAILURE 131
111100000   45   59   78   73   54   51   59   63 45.002065 0.000000 FAILURE 132
111100010   66   72   81   92   79   54   65   82 15.288142 0.053779 SUCCESS 133
111100100   79   88  106   85   81   80   81   88 13.782496 0.087614 SUCCESS 134
111100110   41   56   62   73   52   64   56   44 62.052545 0.000000 FAILURE 135
111101000  142  120  125  148  124  132  118  126 288.710588 0.000000 FAILURE 136
111101010   59   89   75   99   81  105   61   68 27.218721 0.000648 FAILURE 137
111101100   42   62   66   83   74   73   44   69 40.047434 0.000003 FAILURE 138
111101110   56   51   58   70   67   51   46   66 49.410202 0.000000 FAILURE 139
111110000   54   72   93  102   71   75   84   91 22.132950 0.004675 FAILURE 140
111110010   68   86   98   91   82   83   74   83 10.663435 0.221508 SUCCESS 141
111110100  116  109  118  138  124  156   98  123 240.224382 0.000000 FAILURE 142
111110110   60   84   84  103   80   83   62   87 18.303986 0.019059 SUCCESS 143
111111000   74   93  115  151   94   98   93  125 132.088590 0.000000 FAILURE 144
111111010  102  130  110  119  115  177   88  139 276.582882 0.000000 FAILURE 145
111111100   85  112  128  146  111  161  133  137 300.799198 0.000000 FAILURE 146
111111110   88  134  110   93  114  101  170  105 204.331496 0.000000 FAILURE 147

